1574749198	52	162	60	
1574749208	99	299	107	
1574749218	126	414	145	
1574749228	172	522	181	
1574749238	216	670	224	
1574749248	263	792	264	
1574749258	306	912	313	
1574749268	345	1038	362	
1574749278	372	1130	396	
1574749288	414	1232	437	
1574749298	452	1369	497	
1574749308	478	1486	532	
1574749318	519	1582	575	
1574749328	545	1694	603	
1574749338	600	1842	639	
1574749348	637	1984	709	
1574749358	676	2116	754	
1574749368	702	2232	788	
1574749378	728	2329	821	
1574749388	771	2463	878	
1574749398	798	2576	908	
1574749408	842	2696	956	
1574749418	876	2805	993	
1574749428	918	2917	1031	
1574749438	963	3066	1098	
1574749448	1005	3182	1147	
1574749458	1031	3273	1182	
1574749468	1059	3380	1218	
1574749478	1087	3496	1263	
1574749488	1121	3620	1305	
1574749498	1157	3720	1347	
1574749508	1211	3861	1385	
1574749518	1251	4015	1428	
1574749528	1285	4129	1464	
1574749538	1316	4242	1508	
1574749548	1358	4358	1554	
1574749558	1388	4465	1587	
1574749568	1456	4604	1640	
1574749578	1486	4712	1672	
1574749588	1523	4841	1704	
1574749598	1562	4949	1756	
1574749608	1591	5038	1793	
1574749618	1634	5186	1833	
1574749628	1675	5320	1869	
1574749638	1717	5453	1921	
1574749648	1750	5541	1961	
1574749658	1781	5649	1988	
1574749668	1822	5812	2040	
1574749678	1871	5925	2083	
1574749688	1906	6033	2128	
1574749698	1936	6161	2183	
1574749708	1973	6261	2224	
1574749718	2015	6376	2265	
1574749728	2063	6536	2314	
1574749739	2095	6675	2374	
1574749749	2151	6822	2423	
1574749759	2193	6944	2457	
1574749769	2232	7055	2500	
1574749779	2259	7144	2542	
1574749789	2309	7300	2595	
1574749799	2341	7437	2632	
1574749809	2388	7579	2691	
1574749819	2416	7701	2732	
1574749829	2452	7810	2771	
1574749839	2490	7928	2817	
1574749849	2528	8058	2858	
1574749859	2575	8219	2913	
1574749869	2608	8346	2955	
1574749879	2643	8461	3005	
1574749889	2683	8609	3056	
1574749899	2716	8723	3086	
1574749909	2740	8840	3148	
1574749919	2770	8934	3183	
1574749929	2810	9058	3233	
1574749939	2849	9200	3277	
1574749949	2890	9317	3325	
1574749959	2927	9413	3359	
1574749969	2989	9566	3408	
1574749979	3032	9692	3449	
1574749989	3072	9836	3498	
1574749999	3108	9957	3543	
1574750009	3149	10064	3571	
1574750019	3188	10176	3613	
1574750029	3208	10280	3646	
1574750039	3249	10409	3707	
1574750049	3282	10516	3749	
1574750059	3334	10651	3794	
1574750069	3369	10787	3829	
1574750079	3401	10905	3872	
1574750089	3448	11022	3908	
1574750099	3489	11115	3953	
1574750109	3533	11252	4001	
1574750119	3567	11356	4023	
1574750129	3628	11509	4067	
1574750139	3650	11591	4101	
1574750149	3698	11708	4145	
1574750159	3747	11851	4196	
1574750169	3777	11967	4229	
1574750179	3824	12133	4284	
1574750189	3864	12234	4320	
1574750199	3904	12358	4366	
1574750209	3950	12506	4421	
1574750219	3987	12626	4458	
1574750229	4021	12741	4496	
1574750239	4061	12867	4537	
1574750249	4101	12982	4583	
1574750259	4149	13117	4630	
1574750269	4201	13276	4682	
1574750279	4232	13402	4718	
1574750289	4257	13477	4749	
1574750299	4278	13573	4774	
1574750309	4313	13707	4826	
1574750319	4351	13831	4868	
1574750329	4377	13912	4890	
1574750339	4421	14037	4936	
1574750349	4466	14159	4968	
1574750359	4498	14308	5018	
1574750369	4525	14421	5050	
1574750379	4555	14530	5098	
1574750389	4599	14650	5138	
1574750399	4642	14798	5183	
1574750409	4681	14929	5224	
1574750419	4720	15038	5272	
1574750429	4757	15149	5319	
1574750439	4792	15279	5360	
1574750449	4822	15378	5405	
1574750459	4865	15515	5441	
1574750469	4901	15648	5489	
1574750479	4942	15764	5540	
1574750489	4988	15897	5578	
1574750499	5026	16017	5619	
1574750509	5065	16155	5670	
1574750519	5103	16258	5717	
1574750529	5141	16365	5750	
1574750539	5175	16491	5795	
1574750549	5225	16621	5833	
1574750559	5260	16732	5882	
1574750569	5290	16832	5907	
1574750579	5320	16915	5951	
1574750589	5340	17024	5990	
1574750599	5374	17123	6032	
1574750609	5412	17263	6077	
1574750619	5438	17371	6111	
1574750629	5469	17492	6149	
1574750639	5508	17646	6197	
1574750649	5538	17766	6244	
1574750659	5575	17873	6273	
1574750670	5612	18005	6314	
1574750680	5640	18121	6342	
1574750690	5695	18253	6377	
1574750700	5736	18397	6420	
1574750710	5782	18537	6459	
1574750720	5812	18658	6501	
1574750730	5852	18755	6530	
1574750740	5871	18826	6554	
1574750750	5908	18980	6603	
1574750760	5937	19087	6630	
1574750770	5979	19185	6679	
1574750780	6012	19274	6722	
1574750790	6050	19393	6752	
1574750800	6088	19528	6790	
1574750810	6123	19637	6820	
1574750820	6161	19742	6860	
1574750830	6202	19825	6901	
1574750840	6238	19937	6941	
1574750850	6283	20073	6996	
1574750860	6314	20204	7042	
1574750870	6357	20341	7095	
1574750880	6392	20462	7151	
1574750890	6418	20583	7194	
1574750900	6449	20703	7230	
1574750910	6488	20832	7272	
1574750920	6511	20917	7308	
1574750930	6555	21038	7352	
1574750940	6596	21159	7397	
1574750950	6639	21284	7445	
1574750960	6682	21408	7485	
1574750970	6726	21540	7538	
1574750980	6774	21672	7584	
1574750990	6818	21799	7622	
1574751000	6849	21917	7666	
1574751010	6878	22050	7706	
1574751020	6907	22175	7748	
1574751030	6951	22288	7788	
1574751040	6998	22414	7818	
1574751050	7031	22519	7848	
1574751060	7080	22627	7884	
1574751070	7122	22767	7936	
1574751080	7164	22893	7982	
1574751090	7207	23013	8040	
1574751100	7256	23130	8081	
1574751110	7302	23272	8131	
1574751120	7362	23426	8183	
1574751130	7403	23540	8209	
1574751140	7432	23683	8246	
1574751150	7477	23808	8295	
1574751160	7516	23966	8346	
1574751170	7546	24074	8399	
1574751180	7593	24202	8448	
1574751190	7624	24316	8479	
1574751200	7673	24460	8516	
1574751210	7696	24549	8552	
1574751220	7722	24669	8580	
1574751230	7753	24770	8615	
1574751240	7783	24870	8661	
1574751250	7821	25010	8695	
1574751260	7852	25138	8744	
1574751270	7887	25238	8780	
1574751280	7908	25314	8810	
1574751290	7948	25449	8852	
1574751300	8004	25579	8889	
1574751310	8035	25658	8925	
1574751320	8067	25771	8966	
1574751330	8097	25920	9010	
1574751340	8127	26028	9058	
1574751350	8168	26140	9093	
1574751360	8216	26288	9135	
1574751370	8245	26405	9161	
1574751380	8279	26521	9202	
1574751390	8315	26630	9246	
1574751400	8346	26736	9288	
1574751410	8395	26867	9335	
1574751420	8438	27025	9370	
1574751430	8482	27152	9407	
1574751440	8512	27252	9447	
1574751450	8550	27367	9489	
1574751460	8586	27509	9526	
1574751470	8629	27630	9558	
1574751480	8667	27753	9611	
1574751490	8699	27865	9648	
1574751500	8742	28004	9695	
1574751510	8797	28142	9748	
1574751520	8836	28255	9790	
1574751530	8877	28412	9835	
1574751540	8907	28520	9867	
1574751550	8944	28624	9907	
1574751560	8970	28724	9958	
1574751570	9006	28834	9987	
1574751580	9034	28933	10022	
1574751590	9064	29057	10059	
1574751600	9114	29167	10111	
1574751610	9162	29298	10154	
1574751620	9209	29428	10197	
1574751630	9228	29511	10226	
1574751640	9269	29640	10278	
1574751650	9292	29758	10326	
1574751660	9341	29872	10376	
1574751670	9388	29992	10430	
1574751680	9432	30121	10472	
1574751690	9456	30237	10511	
1574751700	9492	30354	10544	
1574751710	9533	30486	10594	
1574751721	9572	30609	10639	
1574751731	9601	30718	10666	
1574751741	9636	30830	10706	
1574751751	9670	30961	10748	
1574751761	9702	31065	10788	
1574751771	9744	31190	10835	
1574751781	9779	31336	10886	
1574751791	9820	31474	10922	
1574751801	9859	31587	10981	
1574751811	9908	31742	11046	
1574751821	9940	31874	11097	
1574751831	9988	32027	11159	
1574751841	10030	32145	11198	
1574751851	10066	32274	11233	
1574751861	10116	32397	11262	
1574751871	10151	32526	11303	
1574751881	10179	32631	11340	
1574751891	10235	32758	11391	
1574751901	10257	32862	11440	
1574751911	10294	32971	11476	
1574751921	10332	33083	11518	
1574751931	10375	33192	11577	
1574751941	10401	33301	11615	
1574751951	10450	33407	11652	
1574751961	10490	33505	11702	
1574751976	10508	33544	11722	
1574751986	10540	33690	11769	
1574751996	10581	33815	11814	
1574752006	10616	33939	11860	
1574752016	10661	34088	11906	
1574752026	10701	34197	11946	
1574752036	10742	34310	11996	
1574752046	10778	34410	12042	
1574752056	10802	34488	12067	
1574752066	10846	34604	12116	
1574752076	10886	34759	12151	
1574752086	10917	34866	12181	
1574752096	10964	35007	12226	
1574752106	10999	35117	12263	
1574752116	11038	35225	12302	
1574752126	11093	35349	12352	
1574752136	11133	35478	12412	
1574752146	11181	35593	12454	
1574752156	11218	35737	12504	
1574752166	11248	35837	12547	
1574752176	11294	35952	12582	
1574752186	11347	36099	12637	
1574752196	11391	36236	12676	
1574752206	11435	36361	12718	
1574752216	11467	36489	12769	
1574752226	11494	36587	12807	
1574752236	11537	36699	12846	
1574752247	11570	36821	12891	
1574752257	11616	36964	12926	
1574752267	11651	37112	12973	
1574752277	11685	37220	13003	
1574752287	11721	37361	13054	
1574752297	11749	37468	13099	
1574752307	11796	37619	13141	
1574752317	11838	37739	13181	
1574752327	11883	37862	13244	
1574752337	11921	37988	13293	
1574752347	11967	38099	13343	
1574752357	12009	38209	13393	
1574752367	12054	38357	13427	
1574752377	12102	38481	13479	
1574752387	12145	38586	13524	
1574752397	12174	38704	13569	
1574752407	12208	38837	13618	
1574752417	12245	38960	13653	
1574752427	12293	39100	13701	
1574752437	12334	39216	13740	
1574752447	12389	39334	13788	
1574752457	12426	39465	13825	
1574752467	12456	39588	13870	
1574752477	12497	39706	13918	
1574752487	12543	39861	13956	
1574752497	12587	40010	14001	
1574752507	12629	40123	14028	
1574752517	12650	40241	14061	
